iter	Logloss
237	0.4125552192
238	0.4118929144
239	0.4116790055
240	0.4114109509
241	0.4108033571
242	0.4099647962
243	0.4099348535
244	0.4097290044
245	0.4091307624
246	0.4087625328
247	0.4083905802
248	0.4080422132
249	0.4076653739
250	0.4072464861
251	0.4071987038
252	0.406798276
253	0.4063766715
254	0.405869178
255	0.4053957908
256	0.4053244673
257	0.4049262845
258	0.4044228498
259	0.4042208827
260	0.4039254093
261	0.4034459527
262	0.4028729054
263	0.4025852041
264	0.4020929617
265	0.4017215304
266	0.4014026166
267	0.4011391999
268	0.4004987703
269	0.4001177109
270	0.399580885
271	0.3990738403
272	0.3985644252
273	0.3983864303
274	0.398048944
275	0.3977876376
276	0.397757989
277	0.3973306664
278	0.3968985992
279	0.3963890851
280	0.3960892325
281	0.3955474216
282	0.3949881228
283	0.3949625301
284	0.3947273077
285	0.3943048206
286	0.3939631673
287	0.3936721634
288	0.3935480178
289	0.3932158552
290	0.3929460437
291	0.3924550771
292	0.3920985941
293	0.3916379355
294	0.3911981353
295	0.3908318459
296	0.3904252055
297	0.389933922
298	0.3896621264
299	0.3892859471
300	0.3888522587
301	0.3883621485
302	0.3881073028
303	0.3880750535
304	0.3876432837
305	0.387439899
306	0.3868852902
307	0.3864773931
308	0.3860478131
309	0.3857347285
310	0.3856124939
311	0.3851318215
312	0.3845666081
313	0.3839870049
314	0.3834963304
315	0.3829434818
316	0.3827099911
317	0.382275856
318	0.382246799
319	0.3819260804
320	0.3816974978
321	0.3812996385
322	0.3812672037
323	0.3809497585
324	0.3805871825
325	0.3798488378
326	0.3795624116
327	0.3792749596
328	0.3787420309
329	0.3781981108
330	0.377846478
331	0.3778241228
332	0.3773802103
333	0.3769728389
334	0.3764578031
335	0.3764093474
336	0.3759650537
337	0.3759461377
338	0.3755158745
339	0.3754961521
340	0.3750116805
341	0.374578313
342	0.3743958469
343	0.3741706589
344	0.3738368536
345	0.373588422
346	0.3731676324
347	0.3729229718
348	0.3727671343
349	0.3724280876
350	0.3720389954
351	0.3716340004
352	0.3711687322
353	0.370978296
354	0.3707751403
355	0.3703930938
356	0.3699988856
357	0.3697183371
358	0.369355206
359	0.3691049257
360	0.3690880651
361	0.3686963545
362	0.3682870225
363	0.3678583925
364	0.3674415333
365	0.3670009008
366	0.3665566089
367	0.3662028348
368	0.3659610743
369	0.3656350042
370	0.3651869743
371	0.3649244803
372	0.3647326046
373	0.3645292351
374	0.3639979094
375	0.3636719914
376	0.3636479403
377	0.3635787137
378	0.3633498411
379	0.3630306654
380	0.3628435385
381	0.362758531
382	0.3626589774
383	0.3623314695
384	0.3620858657
385	0.3616831175
386	0.361245252
387	0.36081348
388	0.360517561
389	0.360207574
390	0.35989218
391	0.3596134834
392	0.3593533146
393	0.3589786274
394	0.3586896906
395	0.3582543481
396	0.3579442759
397	0.3576919487
398	0.3574264656
399	0.3570346219
400	0.3566683352
401	0.3561912425
402	0.3559354802
403	0.3555431998
404	0.3554363776
405	0.3548067555
406	0.3544655164
407	0.3544432522
408	0.3544269187
409	0.3544041144
410	0.3543007998
411	0.3540748485
412	0.3538109467
413	0.3535167222
414	0.3531637517
415	0.3528821932
416	0.3524778915
417	0.3520761172
418	0.3518506516
419	0.3516922137
420	0.3514300799
421	0.3513130642
422	0.3509346866
423	0.3504487706
424	0.3502033598
425	0.3501866257
426	0.3496190536
427	0.3493091962
428	0.3491578996
429	0.3491453652
430	0.3488033183
431	0.348238854
432	0.3479780671
433	0.3477522887
434	0.3473980681
435	0.3473852577
436	0.3470916967
437	0.3467186537
438	0.346374494
439	0.3458913761
440	0.3457301148
441	0.3454406998
442	0.345161376
443	0.3449336734
444	0.3446865465
445	0.3443397455
446	0.3438393692
447	0.3433467791
448	0.3427775171
449	0.3425178703
450	0.3421475844
451	0.3417139345
452	0.3414934481
453	0.3410419307
454	0.3408090462
455	0.3407810894
456	0.3405716653
457	0.3399686644
458	0.3398884553
459	0.3398215929
460	0.3394413864
461	0.33917343
462	0.3388287031
463	0.3384622375
464	0.3380814921
465	0.3377862696
466	0.3374001972
467	0.3369346019
468	0.3369073363
469	0.3366423454
470	0.336334411
471	0.3362405229
472	0.3358933166
473	0.3355411941
474	0.3351732521
475	0.3347774341
476	0.3344694471
477	0.3340268623
478	0.3337890686
479	0.333565544
480	0.3333716461
481	0.3331096142
482	0.3327122679
483	0.3323740185
484	0.3320032026
485	0.3316687375
486	0.3313986771
487	0.3311176382
488	0.3307539085
489	0.3305151944
490	0.3304988138
491	0.3301497239
492	0.3299558042
493	0.3296667361
494	0.3294597211
495	0.3290066771
496	0.3287522663
497	0.3287293818
498	0.3285037079
499	0.3282638349
500	0.3279736181
501	0.3275678374
502	0.3272588551
503	0.3268129486
504	0.3265453579
505	0.3264255141
506	0.3261281887
507	0.325883604
508	0.3255921524
509	0.3252142837
510	0.3251244557
511	0.3246632583
512	0.3242824383
513	0.3240976196
514	0.3238861903
515	0.3234797137
516	0.3230687744
517	0.3227069259
518	0.3224842588
519	0.322192062
520	0.3219817001
521	0.3218372166
522	0.3215464061
523	0.3212986009
524	0.3209615943
525	0.3207241872
526	0.3203270571
527	0.3201080485
528	0.3197109412
529	0.3194497577
530	0.3191390935
531	0.3187913352
532	0.318513116
533	0.3183893635
534	0.3180318247
535	0.3177880499
536	0.3174010686
537	0.3169651622
538	0.3169544835
539	0.3168278293
540	0.3166598212
541	0.3163362066
542	0.3160162709
543	0.3159854164
544	0.3156403614
545	0.3153253103
546	0.3148787338
547	0.3145583891
548	0.3141091708
549	0.3137590762
550	0.313253969
551	0.3128073395
552	0.3124063163
553	0.3123683872
554	0.3119940495
555	0.311777419
556	0.3114224977
557	0.3111286654
558	0.3111126998
559	0.3110090657
560	0.3107451474
561	0.3103254841
562	0.3101771132
563	0.3099468966
564	0.309573154
565	0.3092114464
566	0.3092031541
567	0.3089779379
568	0.308720281
569	0.3084734138
570	0.308094813
571	0.3078611972
572	0.307693725
573	0.3074185338
574	0.3070973718
575	0.3066730189
576	0.3065177124
577	0.3065035334
578	0.3064886907
579	0.3060458048
580	0.3056495623
581	0.305250823
582	0.305235395
583	0.3051019645
584	0.3048623038
585	0.3048538554
586	0.3044529786
587	0.3040485312
588	0.3038390482
589	0.3038138647
590	0.303535943
591	0.3031537776
592	0.3029680914
593	0.3027096579
594	0.3023590891
595	0.3023395626
596	0.3022039963
597	0.3019504945
598	0.3018226943
599	0.3018022737
